dataset_id	sample_id	group	tissue	time_hr	batch	replicate	platform	library_layout	library_source	raw_treatment
GSE139529	SRR10358651	ad.mva	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358652	ad.mva	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358653	ad.mva	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358654	ad.mva	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358655	ad.mva	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358656	ad.mva	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358657	ad_empty	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358658	ad_empty	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358659	ad_empty	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358660	ad_empty	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358661	ad_empty	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358662	ad_empty	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358615	ad_fhbp	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358616	ad_fhbp	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358617	ad_fhbp	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358618	ad_fhbp	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358619	ad_fhbp	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358620	ad_fhbp	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358674	ad_pref	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358675	ad_pref	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358676	ad_pref	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358677	ad_pref	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358678	ad_pref	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358679	ad_pref	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358633	bex.bex	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358634	bex.bex	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358635	bex.bex	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358636	bex.bex	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358637	bex.bex	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358638	bex.bex	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358627	bexsero	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358628	bexsero	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358629	bexsero	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358630	bexsero	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358631	bexsero	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358632	bexsero	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358639	mva.ad	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358640	mva.ad	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358641	mva.ad	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358642	mva.ad	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358643	mva.ad	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358644	mva.ad	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358621	mva_fhbp	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358622	mva_fhbp	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358623	mva_fhbp	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358624	mva_fhbp	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358625	mva_fhbp	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358626	mva_fhbp	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358645	none	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358646	none	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358647	none	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358648	none	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358649	none	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358650	none	blood	24	NA	6	NA	NA	NA	NA
GSE139529	SRR10358669	tru.tru	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358670	tru.tru	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358671	tru.tru	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358672	tru.tru	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358673	tru.tru	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358663	trumenba	blood	24	NA	1	NA	NA	NA	NA
GSE139529	SRR10358664	trumenba	blood	24	NA	2	NA	NA	NA	NA
GSE139529	SRR10358665	trumenba	blood	24	NA	3	NA	NA	NA	NA
GSE139529	SRR10358666	trumenba	blood	24	NA	4	NA	NA	NA	NA
GSE139529	SRR10358667	trumenba	blood	24	NA	5	NA	NA	NA	NA
GSE139529	SRR10358668	trumenba	blood	24	NA	6	NA	NA	NA	NA
GSE166655	SRR13694562	delivery_aav9_ar45	Tibialis anterior	672	NA	1	NA	NA	NA	NA
GSE166655	SRR13694563	delivery_aav9_ar45	Tibialis anterior	672	NA	2	NA	NA	NA	NA
GSE166655	SRR13694564	delivery_aav9_ar45	Tibialis anterior	672	NA	3	NA	NA	NA	NA
GSE166655	SRR13694565	delivery_aav9_gfp	Tibialis anterior	672	NA	1	NA	NA	NA	NA
GSE166655	SRR13694566	delivery_aav9_gfp	Tibialis anterior	672	NA	2	NA	NA	NA	NA
GSE166655	SRR13694567	delivery_aav9_gfp	Tibialis anterior	672	NA	3	NA	NA	NA	NA
GSE166655	SRR13694568	delivery_untreated	Tibialis anterior	672	NA	1	NA	NA	NA	NA
GSE166655	SRR13694569	delivery_untreated	Tibialis anterior	672	NA	2	NA	NA	NA	NA
GSE166655	SRR13694570	delivery_untreated	Tibialis anterior	672	NA	3	NA	NA	NA	NA
GSE167521	SRR13783173	baseline_0	skin	24	NA	1	NA	NA	NA	NA
GSE167521	SRR13783175	baseline_0	skin	24	NA	2	NA	NA	NA	NA
GSE167521	SRR13783177	baseline_0	skin	24	NA	3	NA	NA	NA	NA
GSE167521	SRR13783179	baseline_0	skin	24	NA	4	NA	NA	NA	NA
GSE167521	SRR13783174	delivery_lnp	skin	24	NA	1	NA	NA	NA	NA
GSE167521	SRR13783176	delivery_lnp	skin	24	NA	2	NA	NA	NA	NA
GSE167521	SRR13783178	delivery_lnp	skin	24	NA	3	NA	NA	NA	NA
GSE167521	SRR13783180	delivery_lnp	skin	24	NA	4	NA	NA	NA	NA
GSE178313	SRR14828049	mouse_repopulated_lnp	Liver	48	NA	1	NA	NA	NA	NA
GSE178313	SRR14828062	mouse_repopulated_lnp	Liver	48	NA	2	NA	NA	NA	NA
GSE178313	SRR14828063	mouse_repopulated_lnp	Liver	48	NA	3	NA	NA	NA	NA
GSE178313	SRR14828064	mouse_repopulated_lnp	Liver	48	NA	4	NA	NA	NA	NA
GSE178313	SRR14828048	mouse_repopulated_pbs	Liver	48	NA	1	NA	NA	NA	NA
GSE178313	SRR14828059	mouse_repopulated_pbs	Liver	48	NA	2	NA	NA	NA	NA
GSE178313	SRR14828060	mouse_repopulated_pbs	Liver	48	NA	3	NA	NA	NA	NA
GSE178313	SRR14828061	mouse_repopulated_pbs	Liver	48	NA	4	NA	NA	NA	NA
GSE190850	SRR17223802	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	1	NA	NA	NA	NA
GSE190850	SRR17223804	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	2	NA	NA	NA	NA
GSE190850	SRR17223806	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	3	NA	NA	NA	NA
GSE190850	SRR17223808	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	4	NA	NA	NA	NA
GSE190850	SRR17223810	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	5	NA	NA	NA	NA
GSE190850	SRR17223812	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	6	NA	NA	NA	NA
GSE190850	SRR17223814	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	7	NA	NA	NA	NA
GSE190850	SRR17223818	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	8	NA	NA	NA	NA
GSE190850	SRR17223820	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	9	NA	NA	NA	NA
GSE190850	SRR17223803	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	10	NA	NA	NA	NA
GSE190850	SRR17223805	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	11	NA	NA	NA	NA
GSE190850	SRR17223807	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	12	NA	NA	NA	NA
GSE190850	SRR17223809	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	13	NA	NA	NA	NA
GSE190850	SRR17223811	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	14	NA	NA	NA	NA
GSE190850	SRR17223813	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	15	NA	NA	NA	NA
GSE190850	SRR17223816	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	16	NA	NA	NA	NA
GSE190850	SRR17223819	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	17	NA	NA	NA	NA
GSE190850	SRR17223821	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	18	NA	NA	NA	NA
GSE190850	SRR17223815	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	19	NA	NA	NA	NA
GSE190850	SRR17223817	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	1344	NA	20	NA	NA	NA	NA
GSE190850	SRR17223822	delivery_unstimulated	BALF	0	NA	1	NA	NA	NA	NA
GSE190850	SRR17223824	delivery_unstimulated	BALF	0	NA	2	NA	NA	NA	NA
GSE190850	SRR17223826	delivery_unstimulated	BALF	0	NA	3	NA	NA	NA	NA
GSE190850	SRR17223828	delivery_unstimulated	BALF	0	NA	4	NA	NA	NA	NA
GSE190850	SRR17223830	delivery_unstimulated	BALF	0	NA	5	NA	NA	NA	NA
GSE190850	SRR17223832	delivery_unstimulated	BALF	0	NA	6	NA	NA	NA	NA
GSE190850	SRR17223834	delivery_unstimulated	BALF	0	NA	7	NA	NA	NA	NA
GSE190850	SRR17223836	delivery_unstimulated	BALF	0	NA	8	NA	NA	NA	NA
GSE190850	SRR17223838	delivery_unstimulated	BALF	0	NA	9	NA	NA	NA	NA
GSE190850	SRR17223840	delivery_unstimulated	BALF	0	NA	10	NA	NA	NA	NA
GSE190850	SRR17223823	delivery_unstimulated	BALF	0	NA	11	NA	NA	NA	NA
GSE190850	SRR17223825	delivery_unstimulated	BALF	0	NA	12	NA	NA	NA	NA
GSE190850	SRR17223827	delivery_unstimulated	BALF	0	NA	13	NA	NA	NA	NA
GSE190850	SRR17223829	delivery_unstimulated	BALF	0	NA	14	NA	NA	NA	NA
GSE190850	SRR17223831	delivery_unstimulated	BALF	0	NA	15	NA	NA	NA	NA
GSE190850	SRR17223833	delivery_unstimulated	BALF	0	NA	16	NA	NA	NA	NA
GSE190850	SRR17223835	delivery_unstimulated	BALF	0	NA	17	NA	NA	NA	NA
GSE190850	SRR17223837	delivery_unstimulated	BALF	0	NA	18	NA	NA	NA	NA
GSE190850	SRR17223839	delivery_unstimulated	BALF	0	NA	19	NA	NA	NA	NA
GSE190850	SRR17223841	delivery_unstimulated	BALF	0	NA	20	NA	NA	NA	NA
GSE262515	SRR28462972	baseline_0	tissue	72	NA	1	NA	NA	NA	NA
GSE262515	SRR28462973	baseline_0	tissue	72	NA	2	NA	NA	NA	NA
GSE262515	SRR28462974	baseline_0	tissue	72	NA	3	NA	NA	NA	NA
GSE262515	SRR28462981	baseline_0	cell line	72	NA	4	NA	NA	NA	NA
GSE262515	SRR28462982	baseline_0	cell line	72	NA	5	NA	NA	NA	NA
GSE262515	SRR28462983	baseline_0	cell line	72	NA	6	NA	NA	NA	NA
GSE262515	SRR28462966	delivery_tlnp_sihbv_1mg_kg	tissue	72	NA	1	NA	NA	NA	NA
GSE262515	SRR28462967	delivery_tlnp_sihbv_1mg_kg	tissue	72	NA	2	NA	NA	NA	NA
GSE262515	SRR28462968	delivery_tlnp_sihbv_1mg_kg	tissue	72	NA	3	NA	NA	NA	NA
GSE262515	SRR28462963	delivery_tlnp_sihbv_2_5mg_kg	tissue	72	NA	1	NA	NA	NA	NA
GSE262515	SRR28462964	delivery_tlnp_sihbv_2_5mg_kg	tissue	72	NA	2	NA	NA	NA	NA
GSE262515	SRR28462965	delivery_tlnp_sihbv_2_5mg_kg	tissue	72	NA	3	NA	NA	NA	NA
GSE262515	SRR28462975	delivery_tlnp_sihbv_50nm	cell line	72	NA	1	NA	NA	NA	NA
GSE262515	SRR28462976	delivery_tlnp_sihbv_50nm	cell line	72	NA	2	NA	NA	NA	NA
GSE262515	SRR28462977	delivery_tlnp_sihbv_50nm	cell line	72	NA	3	NA	NA	NA	NA
GSE262515	SRR28462969	delivery_tlnp_sinc_1mg_kg	tissue	72	NA	1	NA	NA	NA	NA
GSE262515	SRR28462970	delivery_tlnp_sinc_1mg_kg	tissue	72	NA	2	NA	NA	NA	NA
GSE262515	SRR28462971	delivery_tlnp_sinc_1mg_kg	tissue	72	NA	3	NA	NA	NA	NA
GSE262515	SRR28462978	delivery_tlnp_sinc_50nm	cell line	72	NA	1	NA	NA	NA	NA
GSE262515	SRR28462979	delivery_tlnp_sinc_50nm	cell line	72	NA	2	NA	NA	NA	NA
GSE262515	SRR28462980	delivery_tlnp_sinc_50nm	cell line	72	NA	3	NA	NA	NA	NA
GSE264344	SRR28740119	baseline_0	Muscle	0	NA	1	NA	NA	NA	NA
GSE264344	SRR28740120	baseline_0	Muscle	0	NA	2	NA	NA	NA	NA
GSE264344	SRR28740121	baseline_0	Muscle	0	NA	3	NA	NA	NA	NA
GSE264344	SRR28740122	baseline_0	Muscle	0	NA	4	NA	NA	NA	NA
GSE264344	SRR28740123	baseline_0	Muscle	0	NA	5	NA	NA	NA	NA
GSE264344	SRR28740124	baseline_0	dLN	0	NA	6	NA	NA	NA	NA
GSE264344	SRR28740125	baseline_0	dLN	0	NA	7	NA	NA	NA	NA
GSE264344	SRR28740126	baseline_0	dLN	0	NA	8	NA	NA	NA	NA
GSE264344	SRR28740127	baseline_0	dLN	0	NA	9	NA	NA	NA	NA
GSE264344	SRR28740128	baseline_0	dLN	0	NA	10	NA	NA	NA	NA
GSE264344	SRR28740199	baseline_0	Blood	0	NA	11	NA	NA	NA	NA
GSE264344	SRR28740200	baseline_0	Blood	0	NA	12	NA	NA	NA	NA
GSE264344	SRR28740201	baseline_0	Blood	0	NA	13	NA	NA	NA	NA
GSE264344	SRR28740202	baseline_0	Blood	0	NA	14	NA	NA	NA	NA
GSE264344	SRR28740203	baseline_0	Blood	0	NA	15	NA	NA	NA	NA
GSE264344	SRR28740116	delivery_ad26	Muscle	24	NA	1	NA	NA	NA	NA
GSE264344	SRR28740117	delivery_ad26	Muscle	6	NA	2	NA	NA	NA	NA
GSE264344	SRR28740134	delivery_ad26	Muscle	24	NA	3	NA	NA	NA	NA
GSE264344	SRR28740135	delivery_ad26	Muscle	12	NA	4	NA	NA	NA	NA
GSE264344	SRR28740136	delivery_ad26	Muscle	24	NA	5	NA	NA	NA	NA
GSE264344	SRR28740137	delivery_ad26	Muscle	12	NA	6	NA	NA	NA	NA
GSE264344	SRR28740138	delivery_ad26	Muscle	24	NA	7	NA	NA	NA	NA
GSE264344	SRR28740139	delivery_ad26	Muscle	12	NA	8	NA	NA	NA	NA
GSE264344	SRR28740140	delivery_ad26	Muscle	12	NA	9	NA	NA	NA	NA
GSE264344	SRR28740141	delivery_ad26	Muscle	24	NA	10	NA	NA	NA	NA
GSE264344	SRR28740142	delivery_ad26	Muscle	12	NA	11	NA	NA	NA	NA
GSE264344	SRR28740151	delivery_ad26	Blood	72	NA	12	NA	NA	NA	NA
GSE264344	SRR28740152	delivery_ad26	Blood	72	NA	13	NA	NA	NA	NA
GSE264344	SRR28740153	delivery_ad26	Blood	72	NA	14	NA	NA	NA	NA
GSE264344	SRR28740159	delivery_ad26	Muscle	72	NA	15	NA	NA	NA	NA
GSE264344	SRR28740160	delivery_ad26	Muscle	72	NA	16	NA	NA	NA	NA
GSE264344	SRR28740161	delivery_ad26	Muscle	72	NA	17	NA	NA	NA	NA
GSE264344	SRR28740162	delivery_ad26	Muscle	72	NA	18	NA	NA	NA	NA
GSE264344	SRR28740163	delivery_ad26	Muscle	72	NA	19	NA	NA	NA	NA
GSE264344	SRR28740171	delivery_ad26	Blood	24	NA	20	NA	NA	NA	NA
GSE264344	SRR28740172	delivery_ad26	Blood	24	NA	21	NA	NA	NA	NA
GSE264344	SRR28740177	delivery_ad26	dLN	12	NA	22	NA	NA	NA	NA
GSE264344	SRR28740178	delivery_ad26	dLN	12	NA	23	NA	NA	NA	NA
GSE264344	SRR28740179	delivery_ad26	dLN	12	NA	24	NA	NA	NA	NA
GSE264344	SRR28740180	delivery_ad26	dLN	12	NA	25	NA	NA	NA	NA
GSE264344	SRR28740181	delivery_ad26	dLN	12	NA	26	NA	NA	NA	NA
GSE264344	SRR28740187	delivery_ad26	Blood	12	NA	27	NA	NA	NA	NA
GSE264344	SRR28740188	delivery_ad26	Blood	12	NA	28	NA	NA	NA	NA
GSE264344	SRR28740189	delivery_ad26	Blood	12	NA	29	NA	NA	NA	NA
GSE264344	SRR28740190	delivery_ad26	Blood	12	NA	30	NA	NA	NA	NA
GSE264344	SRR28740194	delivery_ad26	dLN	72	NA	31	NA	NA	NA	NA
GSE264344	SRR28740195	delivery_ad26	dLN	72	NA	32	NA	NA	NA	NA
GSE264344	SRR28740196	delivery_ad26	dLN	72	NA	33	NA	NA	NA	NA
GSE264344	SRR28740197	delivery_ad26	dLN	72	NA	34	NA	NA	NA	NA
GSE264344	SRR28740198	delivery_ad26	dLN	72	NA	35	NA	NA	NA	NA
