design_file	file_base	tissue	time_h	batch	group_token	control_token	group_raw
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Blood	12	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Blood	12	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Blood	1	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Blood	1	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Blood	24	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Blood	24	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Blood	3	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Blood	3	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Blood	6	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Blood	6	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Blood	72	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Blood	72	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Muscle	12	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Muscle	12	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Muscle	1	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Muscle	1	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Muscle	24	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Muscle	24	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Muscle	3	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Muscle	3	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Muscle	6	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Muscle	6	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	Muscle	72	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	Muscle	72	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	dLN	12	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	dLN	12	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	dLN	1	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	dLN	1	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	dLN	24	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	dLN	24	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	dLN	3	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	dLN	3	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	dLN	6	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	dLN	6	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	dLN	72	NA	NA	baseline_0	NA
C:/Users/john/Desktop/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	dLN	72	NA	NA	baseline_0	NA
